,index,default_flag,number_of_stars,number_of_planets,planet_orbital_period,orbit_semimajor_axis,planet_radius,stellar_temperature,stellar_radius,stellar_mass,system_distance,habitable
521,1338.0,1.0,1.0,2.0,921.538,1.74,7.0641599999999976,5031.5288,0.76,0.83,16.3292,0.0
522,1339.0,1.0,1.0,1.0,298.2,0.87,6.3039099999999975,4875.0,0.85,0.65,26.1548,0.0
523,1340.0,1.0,1.0,1.0,1840.0,2.9,8.920149999999996,5651.569399999999,1.3863000000000003,0.99,67.4386,0.0
524,1343.0,1.0,1.0,1.0,10.70871,0.0925,4.644469999999999,5387.0,0.85,0.92,31.8766,0.0
525,1345.0,1.0,1.0,1.0,896.0,2.01,10.480079999999994,4846.0,4.44,1.34,131.849,0.0
526,1348.0,1.0,1.0,1.0,1951.0,3.17,9.12191,5892.0,1.08,1.19,52.8128,0.0
527,1350.0,1.0,1.0,1.0,2613.0,4.1,10.146779999999996,5671.0,2.39,1.35,148.934,0.0
528,1351.0,1.0,1.0,1.0,471.60001,1.25,12.979890000000001,4175.0,38.41,2.24,497.823,0.0
529,1353.0,1.0,1.0,1.0,974.0,1.98,8.948679999999994,5783.0,1.34,1.03,70.7832,0.0
530,1355.0,1.0,3.0,1.0,1544.0,2.62,10.127470000000002,6289.0,1.3,1.23,105.155,0.0
531,1356.0,1.0,2.0,3.0,649.0,1.44,7.431689999999999,5799.0,1.0063000000000004,0.95,51.4736,0.0
532,1357.0,1.0,2.0,3.0,3568.0,4.49,8.275369999999995,5799.0,1.0371000000000001,0.95,51.4736,0.0
533,1358.0,1.0,2.0,3.0,5769.0,6.15,8.275369999999995,5805.0,1.0718000000000003,0.93,51.2993,0.0
534,1359.0,1.0,1.0,2.0,3.2696,0.0444,3.444069999999999,5966.0,1.1748999999999992,1.09,24.0125,0.0
535,1360.0,1.0,1.0,2.0,1291.5646,2.3928,8.196530000000001,5966.0,1.1241999999999996,1.09,24.0125,0.0
536,1364.0,1.0,1.0,2.0,258.17999,0.81,7.839230000000003,5736.0,1.22,1.1,26.1804,0.0
537,1367.0,1.0,1.0,2.0,5000.0,5.8,9.366539999999999,5585.0,1.25,1.1,26.1804,0.0
538,1368.0,1.0,1.0,3.0,11.57797,0.0964,1.664,5664.0,1.06,0.87,14.682,0.0
539,1371.0,1.0,1.0,3.0,27.59221,0.1721,2.916,5664.0,1.06,0.87,14.682,0.0
540,1374.0,1.0,1.0,3.0,107.245,0.425,2.562,5664.0,1.06,0.87,14.682,0.0
541,1377.0,1.0,1.0,1.0,464.29999,1.29,12.242600000000003,4989.0,3.78,1.48,105.168,0.0
542,1379.0,1.0,1.0,1.0,4540.0,5.13,7.835529999999995,5773.19,1.19,0.88,47.874,0.0
